classname,lines-covered,lines-valid,branches-covered,branches-valid,complexity
chs.ccrs.data.export.config.CableRouterExportConfigurationReader,45,52,10,18,22
chs.ccrs.data.export.config.ICableRouterExportConfiguration,0,0,0,0,0
chs.ccrs.data.export.exception.CableRouterExportException,0,2,0,0,1
chs.ccrs.data.export.schedule.CableRouterExportScheduleManager,17,25,1,2,14
chs.ccrs.data.export.schedule.CableRouterExportScheduler,47,62,8,20,25
chs.ccrs.data.export.schedule.CableRouterExportTriggerBuilder,6,6,0,0,3
chs.ccrs.data.export.util.ExportCableDataFilterFormatter,26,27,6,6,14
chs.ccrs.data.export.util.ExportRouteSinceDateFormatter,6,7,1,2,2
chs.ccrs.data.export.validate.CableRouterExportConfigurationValidator,35,37,9,12,18
chs.ccrs.data.sync.BaseCableRouterSchedulerJob,5,5,0,0,2
chs.ccrs.data.sync.CableRouterScheduleXMLUploaderJob,88,96,18,22,20
chs.ccrs.data.sync.CableRouterXMLUploaderJob,64,66,21,22,21
chs.ccrs.data.sync.ICableRouterSyncDetails,0,0,0,0,0
chs.ccrs.data.sync.client.CableRouterFTPClient,10,10,0,0,4
chs.ccrs.data.sync.client.CableRouterFileExchangeManager,5,5,1,2,4
chs.ccrs.data.sync.client.CableRouterNoOpFileExchangeClient,11,12,0,0,12
chs.ccrs.data.sync.client.CableRouterSFTPClient,38,41,17,26,22
chs.ccrs.data.sync.client.CableRouterSyncUploadClientBuilder,13,14,3,4,7
chs.ccrs.data.sync.client.FTPClientCreator,10,10,2,2,3
chs.ccrs.data.sync.client.ICableRouterFileExchangeClient,0,0,0,0,0
chs.ccrs.data.sync.client.ICableRouterFileExchangeClientBuilder,0,0,0,0,0
chs.ccrs.data.sync.client.SFTPClientCreator,9,10,1,2,3
chs.ccrs.data.sync.client.validate.FTPClientValidator,11,11,6,10,11
chs.ccrs.data.sync.client.validate.ICableRouterDataValidator,0,0,0,0,0
chs.ccrs.data.sync.client.validate.SFTPClientValidator,11,11,5,10,11
chs.ccrs.data.sync.config.CableRouterSyncConfiguration,28,28,0,0,17
chs.ccrs.data.sync.config.CableRouterSyncConfigurationBuilder,27,29,1,2,14
chs.ccrs.data.sync.config.CableRouterSyncConfigurationReader,47,50,2,4,15
chs.ccrs.data.sync.config.CableRouterSyncConnectionConfiguration,26,26,0,0,14
chs.ccrs.data.sync.config.CableRouterSyncFileExchangeProtocol,2,2,0,0,1
chs.ccrs.data.sync.config.ICableRouterSyncConfiguration,0,0,0,0,0
chs.ccrs.data.sync.exception.CableRouterSyncException,2,2,0,0,1
chs.ccrs.data.sync.model.CableRouterUploadXMLModel,4,4,0,0,2
chs.ccrs.data.sync.schedule.CableRouterInstantSyncTriggerBuilder,7,7,0,0,4
chs.ccrs.data.sync.schedule.CableRouterLogBackupTriggerBuilder,17,17,0,0,3
chs.ccrs.data.sync.schedule.CableRouterScheduleSyncTriggerBuilder,6,6,0,0,3
chs.ccrs.data.sync.schedule.CableRouterUploadScheduleManager,13,13,0,0,9
chs.ccrs.data.sync.schedule.CableRouterUploadScheduler,68,76,20,28,33
chs.ccrs.data.sync.schedule.CableRouterXMLFileVisitor,7,7,6,6,7
chs.ccrs.data.sync.validate.CableRouterSyncConfigurationValidator,52,52,18,18,16
chs.ccrs.data.sync.validate.CableRouterSyncValidationResponse,5,5,0,0,3
chs.ccrs.data.sync.validate.CableRouterXMLUploadRetryValidator,13,14,5,6,7
chs.ccrs.exception.CableRouterExceptionHandler,3,3,0,0,3
chs.ccrs.filters.BaseCableRouterFilterAdder,0,9,0,0,4
chs.ccrs.filters.CableRouterActivityFilter,8,8,1,2,3
chs.ccrs.filters.CableRouterActivityFilterAdder,0,6,0,0,3
chs.ccrs.filters.CableRouterAdmininstratorDetailFilter,6,6,1,2,4
chs.ccrs.filters.CableRouterApplicableLicenseFilter,21,21,7,8,11
chs.ccrs.filters.CableRouterAuthenticationFilter,13,13,3,4,5
chs.ccrs.filters.CableRouterBaseDataFilter,8,9,4,6,6
chs.ccrs.filters.CableRouterBaseFilter,8,10,3,4,8
chs.ccrs.filters.CableRouterCmpicConnectFilter,6,6,1,2,4
chs.ccrs.filters.CableRouterDefaultFilterAdder,0,17,0,0,2
chs.ccrs.filters.CableRouterDelegationFilter,0,10,0,2,4
chs.ccrs.filters.CableRouterExportFilter,7,7,1,2,4
chs.ccrs.filters.CableRouterExportFilterAdder,0,6,0,0,2
chs.ccrs.filters.CableRouterLoginURLFilter,7,7,2,2,3
chs.ccrs.filters.CableRouterOnDemandExportLogFilter,7,7,1,2,4
chs.ccrs.filters.CableRouterOnDemandLastExportFilter,8,8,1,2,4
chs.ccrs.filters.CableRouterResourceAccessFilter,2,2,0,0,2
chs.ccrs.filters.CableRouterScheduleSyncFilter,7,7,1,2,4
chs.ccrs.filters.CableRouterServerShutdownFilter,11,11,2,2,7
chs.ccrs.filters.CableRouterSessionInfoFilter,4,4,0,0,2
chs.ccrs.filters.CableRouterShutdownProxy,3,8,0,2,3
chs.ccrs.filters.CableRouterSyncContentUploadFilter,11,11,3,4,6
chs.ccrs.filters.CableRouterSyncXMLContentValidationFilter,11,11,3,4,6
chs.ccrs.filters.CableRouterSynchronizationFilterAdder,0,6,0,0,2
chs.ccrs.filters.ICableRouterActivityTracker,0,0,0,0,0
chs.ccrs.model.CableRouterServerDetails,10,10,0,0,5
chs.ccrs.model.cmpic.CMPICResponseConstants,0,0,0,0,0
chs.ccrs.model.cmpic.CMPICResponseData,4,4,0,0,3
chs.ccrs.model.cmpic.CMPICResponseMetaData,16,16,0,0,11
chs.ccrs.model.cmpic.MultiCMPICResponseDataBuilder,15,15,4,4,5
chs.ccrs.model.object.nx.NXCableAdapter,4,4,0,0,2
chs.ccrs.model.object.nx.NXDeviceAdapter,7,7,0,0,5
chs.ccrs.model.object.nx.NXNodeAdapter,7,7,0,0,5
chs.ccrs.model.object.nx.NXSegmentAdapter,8,8,0,0,6
chs.ccrs.model.object.nx.NXUOMAdapter,8,8,0,0,6
chs.ccrs.rest.CableRouterResponseProvider,8,8,0,0,5
chs.ccrs.rest.CableRouterServerJerseyApplication,16,16,0,0,3
chs.ccrs.rest.JSONResponseBuilder,9,9,0,0,2
chs.ccrs.rest.JsonProcessingExceptionMapper,2,2,0,0,2
chs.ccrs.rest.NXCCRequestWrapper,15,16,5,6,7
chs.ccrs.rest.NXSessionManager,21,21,1,2,12
chs.ccrs.rest.RequestParameters,8,8,0,0,4
chs.ccrs.rest.Services,0,0,0,0,0
chs.ccrs.rest.contenttransformer.BaseCMPICResponseTransformer$1,1,1,0,0,1
chs.ccrs.rest.contenttransformer.BaseCMPICResponseTransformer$2,1,1,0,0,1
chs.ccrs.rest.contenttransformer.BaseCMPICResponseTransformer,37,37,0,0,11
chs.ccrs.rest.contenttransformer.BaseResponseTransformer,10,10,2,2,4
chs.ccrs.rest.contenttransformer.CMPICToNXCableTransformer,2,2,0,0,2
chs.ccrs.rest.contenttransformer.CMPICToNXDeviceTransformer,2,2,0,0,2
chs.ccrs.rest.contenttransformer.CMPICToNXNodeTransformer,2,2,0,0,2
chs.ccrs.rest.contenttransformer.CMPICToNXSegmentTransformer,2,2,0,0,2
chs.ccrs.rest.contenttransformer.CMPICToNXUOMTransformer,2,2,0,0,2
chs.ccrs.rest.services.BaseRestService,36,37,13,14,19
chs.ccrs.rest.services.CableRestService,4,4,0,0,4
chs.ccrs.rest.services.DeviceRestService,4,4,0,0,4
chs.ccrs.rest.services.NodeRestService,4,4,0,0,4
chs.ccrs.rest.services.SegmentRestService,4,4,0,0,4
chs.ccrs.rest.services.TokenRestService,3,3,0,0,2
chs.ccrs.rest.services.UOMRestService,6,6,0,0,6
chs.ccrs.server.CableRouterServer,29,29,2,2,13
chs.ccrs.server.start.CableRouterServerStartLifecycleTask,29,32,6,6,18
chs.ccrs.server.start.DisplayFeedbackMessageTask,27,27,8,8,9
chs.ccrs.server.start.LicenseAndReportInitializationTask,15,15,4,4,5
chs.ccrs.server.start.PortValidationTask,41,41,12,12,11
chs.ccrs.server.start.PreInitializationTask,6,6,0,0,3
chs.ccrs.server.start.ServerPortSetupTask,24,24,2,2,7
chs.ccrs.server.start.StartLifecycleTaskChainBuilder,12,12,0,0,10
chs.ccrs.server.start.StartServerTask,15,15,0,0,3
chs.ccrs.server.stop.CableRouterServerStopLifecycleTask,9,9,4,4,5
chs.ccrs.server.stop.StopServerService$StopServerServiceInstanceHolder,1,1,0,0,1
chs.ccrs.server.stop.StopServerService,20,22,0,0,7
chs.ccrs.server.stop.StopServerTask,8,8,0,0,3
chs.ccrs.servlet.BaseCableRouterContentHandlerServlet,19,19,2,2,4
chs.ccrs.servlet.CMPICDelegationServlet,11,13,2,2,5
chs.ccrs.servlet.CMPICDelegationServletConfig,11,11,0,0,6
chs.ccrs.servlet.CMPICRequestWrapper,17,17,6,8,13
chs.ccrs.servlet.CableRouterActivityChecker,14,14,4,4,6
chs.ccrs.servlet.CableRouterAdministratorEmailServlet,5,5,0,0,2
chs.ccrs.servlet.CableRouterCmpicConnectServlet,12,12,0,0,4
chs.ccrs.servlet.CableRouterContentUploaderServlet,7,7,0,0,2
chs.ccrs.servlet.CableRouterContextAdapter,12,12,0,0,4
chs.ccrs.servlet.CableRouterDataBaseServlet,12,15,0,0,4
chs.ccrs.servlet.CableRouterExportServlet,1,17,0,0,2
chs.ccrs.servlet.CableRouterHelpFilter,0,9,0,2,5
chs.ccrs.servlet.CableRouterHelpServlet,0,10,0,0,3
chs.ccrs.servlet.CableRouterLicenseServiceFilter,0,8,0,2,5
chs.ccrs.servlet.CableRouterLicenseServlet,0,9,0,0,3
chs.ccrs.servlet.CableRouterLoginURLServlet,7,7,0,0,3
chs.ccrs.servlet.CableRouterOnDemandExportLogFileServlet,1,6,0,0,3
chs.ccrs.servlet.CableRouterOnDemandLastExportServlet,3,6,0,0,2
chs.ccrs.servlet.CableRouterScheduleSyncBackUpJob,43,45,8,12,15
chs.ccrs.servlet.CableRouterScheduleSyncServlet,18,18,2,2,4
chs.ccrs.servlet.CableRouterSessionInfoServlet,18,18,2,2,5
chs.ccrs.servlet.CableRouterSyncContentValidationServlet,26,26,1,2,6
chs.ccrs.servlet.CableRouterUserAuthenticationServlet,27,31,3,4,8
chs.ccrs.servlet.CableRouterWebServerServlet,27,29,9,12,14
chs.ccrs.servlet.LoginDelegationServlet,56,66,16,26,26
chs.ccrs.servlet.ShutdownServlet,21,21,6,6,7
chs.ccrs.servlet.context.CableRouterDefaultContext,0,4,0,0,1
chs.ccrs.servlet.context.CableRouterFilterHolder,3,3,0,0,1
chs.ccrs.servlet.context.CableRouterFilterMapping,4,4,0,0,1
chs.ccrs.servlet.context.CableRouterFrameOptionsFilter,0,3,0,0,2
chs.ccrs.servlet.context.CableRouterSecurityHeadersFilter,4,4,1,2,3
chs.ccrs.servlet.context.CableRouterServletContextAdder,17,17,0,0,5
chs.ccrs.servlet.context.CableRouterServletContextAdderBuilder,10,10,0,0,6
chs.ccrs.servlet.context.CableRouterServletHolder,8,8,0,0,2
chs.ccrs.servlet.context.CableRouterServletMapping,4,4,0,0,1
chs.ccrs.servlet.context.CableRouterWebAppContext,0,35,0,0,11
chs.ccrs.servlet.context.CableRouterWebAppContextBuilder,1,8,0,0,5
chs.ccrs.servlet.task.AbstractCableRouterServletTask,7,7,2,2,3
chs.ccrs.servlet.task.responseheader.CMPICSessionAdditionTask,20,22,7,8,9
chs.ccrs.servlet.task.responseheader.cookieaddition.CMPICCookieBuilder,20,20,4,4,8
chs.ccrs.servlet.task.responseheader.cookieaddition.CMPICHeaderToCookieConverter,18,18,12,12,8
chs.ccrs.session.CMPICSessionInvalidator,30,30,2,4,7
chs.ccrs.session.CableRouterSessionManager,19,21,1,2,9
chs.ccrs.transform.AuthenticationDetailsTransformer,20,20,2,2,9
chs.ccrs.transform.BaseCMPICRequestTransformer,18,18,0,0,9
chs.ccrs.transform.ParameterEncodeRequestTransformer,4,4,0,0,2
chs.ccrs.ui.message.CableRouterMessageDisplayUtil,21,21,0,0,11
chs.ccrs.ui.message.CmpicConnectMissingMessageContent,3,12,0,0,6
chs.ccrs.ui.message.CmpicTokenMissingMessageContent,12,12,0,0,6
chs.ccrs.ui.message.ConfigurationMissingMessageContent,12,12,0,0,6
chs.ccrs.ui.message.ContextMissingMessageContent,12,12,0,0,6
chs.ccrs.ui.message.ErrorMessageContent,11,11,0,0,6
chs.ccrs.ui.message.LicenseMessageContent,14,14,0,0,6
chs.ccrs.ui.message.PortInUseMessageContent,14,14,0,0,6
chs.ccrs.ui.message.PortNotConfiguredMessageContent,12,12,0,0,6
chs.ccrs.ui.message.ServerURLMissingMessageContent,12,12,0,0,6
chs.ccrs.util.ByteBufferUtils,2,2,0,0,2
chs.ccrs.util.CableRouterFileExportUtil,0,39,0,10,20
chs.ccrs.util.CableRouterLicenseUtil,2,2,0,0,2
chs.ccrs.util.CableRouterRequestUtil,3,3,0,0,1
chs.ccrs.util.CableRouterSessionUtil,16,16,6,6,7
chs.ccrs.util.URLEncodeUtils,1,1,0,0,1
chs.ccrs.validate.CMPICXMLSchemaManager,26,26,3,4,7
chs.ccrs.validate.CMPICXMLValidator,16,16,5,8,9
chs.ccrs.validate.CableRouterExternalSchemaReferenceResolver,2,2,0,0,2
chs.ccrs.validate.CableRouterSessionValidator,21,21,9,10,14
chs.ccrs.validate.DefaultLSInput,17,17,0,0,17
chs.ccrs.validate.XMLValidationResult,6,6,3,4,5
chs.caf.cafmain.actions.TeamcenterLogicReportExchangeAction,4,9,0,0,7
chs.caf.cafmain.actions.bridges.LogicBOMReportCreator,0,21,0,4,6
chs.ccrs.model.cmpic.keys.ICMPICCableKeys,0,0,0,0,0
chs.ccrs.model.cmpic.keys.ICMPICDeviceKeys,0,0,0,0,0
chs.ccrs.model.cmpic.keys.ICMPICNodeKeys,0,0,0,0,0
chs.ccrs.model.cmpic.keys.ICMPICSegmentKeys,0,0,0,0,0
chs.ccrs.model.cmpic.keys.ICMPICTokenKeys,0,0,0,0,0
chs.ccrs.model.object.ICable,0,0,0,0,0
chs.ccrs.model.object.ICoordinates,0,0,0,0,0
chs.ccrs.model.object.IDevice,0,0,0,0,0
chs.ccrs.model.object.INode,0,0,0,0,0
chs.ccrs.model.object.IObject,0,0,0,0,0
chs.ccrs.model.object.ISegment,0,0,0,0,0
chs.ccrs.model.object.IToken,0,0,0,0,0
chs.ccrs.rest.contenttransformer.ICMPICContentTransformer,0,0,0,0,0
chs.ccrs.rest.contenttransformer.ICableRouterContentTransformer,0,0,0,0,0
chs.ccrs.server.ICableRouterServer,0,0,0,0,0
chs.ccrs.server.start.ICableRouterServerStartLifecycleTask,0,0,0,0,0
chs.ccrs.server.stop.ICableRouterServerStopLifeCycleTask,0,0,0,0,0
chs.ccrs.servlet.IShutdownProxy,0,0,0,0,0
chs.ccrs.servlet.task.ICableRouterServletTask,0,0,0,0,0
chs.marine.publishlogicbom.TCLogicBOMConstants,0,0,0,0,0
chs.bridges.pdm.TCBomReportParserForLogic,25,26,9,14,12
chs.utility.ICDOverwriteAttrAndPropDuringImportMerge,35,38,18,22,21
chs.task.CableRouterWebServiceHelper,6,6,0,0,3
chs.ccrs.model.cmpic.keys.ICMPICCableKeys,0,0,0,0,0
chs.ccrs.model.cmpic.keys.ICMPICDeviceKeys,0,0,0,0,0
chs.ccrs.model.cmpic.keys.ICMPICNodeKeys,0,0,0,0,0
chs.ccrs.model.cmpic.keys.ICMPICSegmentKeys,0,0,0,0,0
chs.ccrs.model.cmpic.keys.ICMPICTokenKeys,0,0,0,0,0
chs.ccrs.model.object.ICable,0,0,0,0,0
chs.ccrs.model.object.ICoordinates,0,0,0,0,0
chs.ccrs.model.object.IDevice,0,0,0,0,0
chs.ccrs.model.object.INode,0,0,0,0,0
chs.ccrs.model.object.IObject,0,0,0,0,0
chs.ccrs.model.object.ISegment,0,0,0,0,0
chs.ccrs.model.object.IToken,0,0,0,0,0
chs.ccrs.rest.contenttransformer.ICMPICContentTransformer,0,0,0,0,0
chs.ccrs.rest.contenttransformer.ICableRouterContentTransformer,0,0,0,0,0
chs.ccrs.server.ICableRouterServer,0,0,0,0,0
chs.ccrs.server.start.ICableRouterServerStartLifecycleTask,0,0,0,0,0
chs.ccrs.server.stop.ICableRouterServerStopLifeCycleTask,0,0,0,0,0
chs.ccrs.servlet.IShutdownProxy,0,0,0,0,0
chs.ccrs.servlet.task.ICableRouterServletTask,0,0,0,0,0
chs.marine.publishlogicbom.TCLogicBOMConstants,0,0,0,0,0
chs.utilities.CCRSConfigMissingException,2,2,0,0,1
chs.cis.rest.servlets.CapitalWebAppInfoContext,25,25,0,0,6
chs.cis.rest.utils.FrameOptionsFilterSameOrigin,0,7,0,2,5
chs.bridges.adaptors.tceng.TeamcenterLogicBOMFormat,0,3,0,0,1
